epsilon,N,k2,k1,data_duplication,store_complexity,get_complexity,join_complexity
0.1,10000,213,9,46.948356807511736,554430.4603485983,276.4736567553469,130147.24481474134
0.1,10000,212,9,47.16981132075472,559645.5836398877,277.77777777777777,130254.525137455
0.1,10000,211,9,47.39336492890995,564934.899635378,279.09426013691416,130363.22022815699
0.1,10000,210,9,47.61904761904762,570299.8236331571,280.4232804232804,130473.3560090703
0.1,10000,209,9,47.84688995215311,575741.80485286,281.76501860712386,130584.9590083662
0.1,10000,208,9,48.07692307692308,581262.3274161736,283.1196581196581,130698.0563773833
0.1,10000,207,10,48.309178743961354,528176.6202245094,256.0386473429952,119701.56479731148
0.1,10000,206,10,48.54368932038835,533290.602318786,257.28155339805824,119817.73494203035
0.1,10000,205,10,48.78048780487805,538479.4765020821,258.5365853658537,119935.48483045807
0.1,10000,204,10,49.01960784313726,543744.7135717032,259.80392156862746,120054.84429065743
0.1,10000,203,10,49.26108374384236,549087.8206217089,261.0837438423645,120175.84386905773
0.1,10000,202,10,49.504950495049506,554510.3421233213,262.37623762376234,120298.51485148515
0.1,10000,201,10,49.75124378109453,560013.8610430434,263.681592039801,120422.8892849187
0.1,10000,200,10,50.0,565600.0,265.0,120549.0
0.1,10000,199,10,50.25125628140704,571270.4224640792,266.3316582914573,120676.88063432742
0.1,10000,198,10,50.505050505050505,577026.833996531,267.67676767676767,120806.56565656565
0.1,10000,197,10,50.76142131979695,582870.9835347472,269.03553299492387,120938.09039140405
0.1,10000,196,10,51.02040816326531,588804.664723032,270.40816326530614,121071.49104539775
0.1,10000,195,10,51.282051282051285,594829.7172912558,271.7948717948718,121206.80473372781
0.1,10000,194,10,51.54639175257732,600948.0284833672,273.1958762886598,121344.06950791796
0.1,10000,193,10,51.81347150259067,607161.5345378399,274.61139896373055,121483.32438454723
0.1,10000,192,10,52.083333333333336,613472.2222222222,276.04166666666663,121624.609375
0.1,10000,191,10,52.35602094240838,619882.1304240563,277.48691099476434,121767.96551629616
0.1,10000,190,10,52.63157894736842,626393.3518005541,278.9473684210526,121913.43490304709
0.1,10000,189,10,52.91005291005291,633008.034489516,280.4232804232804,122061.06072058453
0.1,10000,188,10,53.191489361702125,639728.3838841104,281.9148936170213,122210.88727931191
0.1,10000,187,10,53.475935828877006,646556.6644742487,283.42245989304814,122362.9600503303
0.1,10000,186,10,53.763440860215056,653495.2017574286,284.9462365591398,122517.32570239334
0.1,10000,185,10,54.054054054054056,660546.38422206,286.48648648648646,122674.03214024835
0.1,10000,184,10,54.34782608695652,667712.6654064272,288.04347826086956,122833.12854442344
0.1,10000,183,10,54.6448087431694,674996.566036609,289.6174863387978,122994.66541252352
0.1,10000,182,10,54.94505494505494,682400.6762468299,291.2087912087912,123158.6946021012
0.1,10000,181,10,55.248618784530386,689927.6578859009,292.81767955801104,123325.2693751717
0.1,10000,180,10,55.55555555555556,697580.2469135802,294.44444444444446,123494.44444444444
0.1,10000,179,11,55.865921787709496,641237.5053553544,269.17216861350937,114575.36693043855
0.1,10000,178,11,56.17977528089887,648430.5241532865,270.68437180796735,114749.91277501693
0.1,10000,177,11,56.49717514124294,655745.6205258562,272.2136620441705,114927.23224778668
0.1,10000,176,11,56.81818181818182,663185.5747558228,273.7603305785124,115107.38636363637
0.1,10000,175,11,57.142857142857146,670753.2467532469,275.3246753246753,115290.43784786641
0.1,10000,174,11,57.47126436781609,678451.578808297,276.9070010449321,115476.45119446547
0.1,10000,173,11,57.80346820809248,686283.5984557392,278.507619548082,115665.49272672598
0.1,10000,172,11,58.13953488372093,694252.4214563154,280.1268498942918,115857.63066030778
0.1,10000,171,11,58.47953216374269,702361.2549004977,281.76501860712386,116052.93516886316
0.1,10000,170,11,58.8235294117647,710613.4004403901,283.42245989304814,116251.47845234351
0.1,10000,169,11,59.171597633136095,719012.2576558625,285.0995158687466,116453.33480811406
0.1,10000,168,11,59.523809523809526,727561.3275613276,286.7965367965368,116658.58070500928
